ItemID,Name,Price,Category,ImageURL,Description,Status,Allergens,IsSet,SetCount,SetItems
JB-01,じゃがバター,250,じゃがばたー,,ほくほく注意報発令中！冷えた体に、じんわりしみるあったかじゃがバター。,,大豆,False,0,
JB-02,ハニーバター,250,じゃがばたー,,甘じょっぱ革命、はじまる。あま〜い香りに包まれて、ほっこり気分。,,大豆,False,0,
JB-03,マヨじゃが,250,じゃがばたー,,マヨが絡んで、うまさ爆発！やみつき確定！マヨのしあわせ、とろけます。,,"大豆,卵,小麦",False,0,
SET-01,２個セット,350,セット商品,,お好きなじゃがバターを２個選んで、お得に楽しもう！,,アレルゲンは各商品のものをご参照ください,True,2,"JB-01,JB-02,JB-03"
SET-02,３個セット,450,セット商品,,お好きなじゃがバターを３個選んで、さらにお得に楽しもう！,,アレルゲンは各商品のものをご参照ください,True,3,"JB-01,JB-02,JB-03"
